Family,Genus,Subgenus,Species,Author,Date,Parentheses (1=author & date in parentheses),Citation,Pages,Common Name,,Home Range,Island? Y/N
Pteropodidae,Dobsonia,,anderseni,Thomas,1914,0,Ann. Mag. Nat. Hist.,"ser. 8, 13: 435",Andersen&apos;s Naked-backed Fruit Bat,,,
Pteropodidae,Dobsonia,,beauforti,Bergmans,1975,0,Beaufortia,23(295): 3,Beaufort&apos;s Naked-backed Fruit Bat,,,
Pteropodidae,Dobsonia,,chapmani,Rabor,1952,0,"Nat. Hist. Misc., Chicago Acad. Sci.",96:02:00,Negros Naked-backed Fruit Bat,,,
Pteropodidae,Dobsonia,,crenulata,K. Andersen,1909,0,Ann. Mag. Nat. Hist.,"ser. 8, 4: 532",Halmahera Naked-backed Fruit Bat,,,
Pteropodidae,Dobsonia,,emersa,Bergmans & Sarbini,1985,0,Beaufortia,34: 185,Biak Naked-backed Fruit Bat,,,
Pteropodidae,Dobsonia,,exoleta,K. Andersen,1909,0,Ann. Mag. Nat. Hist.,"ser. 8, 4: 531, 533",Sulawesi Naked-backed Fruit Bat,,,
Pteropodidae,Dobsonia,,inermis,K. Andersen,1909,0,Ann. Mag. Nat. Hist.,"ser. 8, 4: 532",Solomons Naked-backed Fruit Bat,,,
Pteropodidae,Dobsonia,,magna,Thomas,1905,0,Ann. Mag. Nat. Hist.,"ser. 7, 16: 423",New Guinea Naked-backed Fruit Bat,,,
Pteropodidae,Dobsonia,,minor,Dobson,1879,1,Proc. Zool. Soc. Lond.,1878: 875,Lesser Naked-backed Fruit Bat,,,
Pteropodidae,Dobsonia,,moluccensis,Quoy & Gaimard,1830,1,"In d'Urville, Voy...de Astrolabe, Zool.","1(L&apos;Homme, Mamm. Oiseaux): 86",Moluccan Naked-backed Fruit Bat,,,
Pteropodidae,Dobsonia,,pannietensis,De Vis,1905,1,Ann. Queensl. Mus.,6:36,Panniet Naked-backed Fruit Bat,,,
Pteropodidae,Dobsonia,,peronii,E. Geoffroy,1810,1,Ann. Mus. Natn. Hist. Nat. Paris,0.697222222,Western Naked-backed Fruit Bat,,,
Pteropodidae,Dobsonia,,praedatrix,K. Andersen,1909,0,Ann. Mag. Nat. Hist.,"ser. 8, 4: 532",New Britain Naked-backed Fruit Bat,,,
Pteropodidae,Dobsonia,,viridis,Heude,1896,1,Mem. Hist. Nat. Emp. Chin.,0.247222222,Greenish Naked-backed Fruit Bat,,,
Pteropodidae,Dyacopterus,,brooksi,Thomas,1920,0,Ann. Mag. Nat. Hist.,"ser. 9, 5: 284",Brooks&apos;s Dyak Fruit Bat,,,
Pteropodidae,Dyacopterus,,rickarti,"Helgen, Kock, Gomes & Ingle",2007,0,Journal of Mammalogy,88(2): 311,Phillippine Large-Headed Fruit Bat,,,
Pteropodidae,Dyacopterus,,spadiceus,Thomas,1890,1,Ann. Mag. Nat. Hist.,"ser. 6, 5: 235",Dyak Fruit Bat,,,
Pteropodidae,Eidolon,,dupreanum,Pollen <i>in</i> Schlegel,1867,1,Proc. Zool. Soc. Lond.,1866: 419,Malagasy Straw-colored Fruit Bat,,,
Pteropodidae,Eidolon,,helvum,Kerr,1792,1,"In Linnaeus, Anim. Kingdom","1(1): xvii, 91",African Straw-colored Fruit Bat,,,
Pteropodidae,Eonycteris,,major,K. Andersen,1910,0,Ann. Mag. Nat. Hist.,"ser. 8, 6: 625",Greater Dawn Bat,,,
Pteropodidae,Eonycteris,,robusta,Miller,1913,0,Proc. Biol. Soc. Wash.,26: 73-74,Phillipine Dawn Bat,,,
Pteropodidae,Eonycteris,,spelaea,Dobson,1871,1,Proc. Asiat. Soc. Bengal,"p. 105, 106",Lesser Dawn Bat,,,
Pteropodidae,Epomophorus,,angolensis,Gray,1870,0,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",p. 125,Angolan Epauletted Fruit Bat,,,
Pteropodidae,Epomophorus,,anselli,Bergmans & van Strien,2004,0,Acta Chiropterol.,6(2): 258,Ansell&apos;s Dawn Bat,,,
Pteropodidae,Epomophorus,,crypturus,Peters,1852,0,"Naturwiss. Reise nach Mossambique, S&auml;ug.",p. 26,Peters&apos;s Epauletted Fruit Bat,,,
Pteropodidae,Epomophorus,,dobsonii,Bocage,1889,0,J. Sci. Math. Phys. Nat. Lisboa,"ser. 2, 1: 1",Dobson&apos;s Epauletted Fruit Bat,,,
Pteropodidae,Epomophorus,,gambianus,Ogilby,1835,1,Proc. Zool. Soc. Lond.,1835: 100,Gambian Epauletted Fruit Bat,,,
Pteropodidae,Epomophorus,,grandis,Sanborn,1950,1,Publ. Cult. Comp. Diamantes Angola,10:55,Sanborn&apos;s Epauletted Fruit Bat,,,
Pteropodidae,Epomophorus,,labiatus,Temminck,1837,1,Monogr. Mamm.,0.140972222,Little Epauletted Fruit Bat,,,
Pteropodidae,Epomophorus,,minimus,Claessen & De Vree,1991,0,Senckenberg. Biol.,71: 216,Least Epauletted Fruit Bat,,,
Pteropodidae,Epomophorus,,minor,Dobson,1880,0,Proc. Zool. Soc. Lond.,1879: 715,Minor Epauletted Fruit Bat,,,
Pteropodidae,Epomophorus,,wahlbergi,Sundevall,1846,1,Ofv. Kongl. Svenska Vet.-Akad. Forhandl. Stockholm,3(4): 118,Wahlberg&apos;s Epauletted Fruit Bat,,,
Pteropodidae,Epomops,,buettikoferi,Matschie,1899,1,Megachiroptera Berlin Mus.,p. 45,B&uuml;ttikofer&apos;s Epauletted Fruit Bat,,,
Pteropodidae,Epomops,,franqueti,Tomes,1860,1,Proc. Zool. Soc. Lond.,1860:54:00,Franquet&apos;s Epauletted Fruit Bat,,,
Pteropodidae,Haplonycteris,,fischeri,Lawrence,1939,0,Bull. Mus. Comp. Zool.,86:33:00,Philippine Pygmy Fruit Bat,,,
Pteropodidae,Harpyionycteris,,celebensis,Miller & Hollister,1921,0,Proc. Biol. Soc. Wash.,34: 99,Sulawesi Harpy Fruit Bat,,,
Pteropodidae,Harpyionycteris,,whiteheadi,Thomas,1896,0,Ann. Mag. Nat. Hist.,"ser. 6, 18: 244: 244",Harpy Fruit Bat,,,
Pteropodidae,Hypsignathus,,monstrosus,H. Allen,1861,0,Proc. Acad. Nat. Sci. Phil.,p. 157,Hammer-headed Fruit Bat,,,
Pteropodidae,Latidens,,salimalii,Thonglongya,1972,0,J. Bombay Nat. Hist. Soc.,69: 153,Salim Ali&apos;s Fruit Bat,,,
Pteropodidae,Macroglossus,,minimus,E. Geoffroy,1810,1,Ann. Mus. Natn. Hist. Nat. Paris,0.692361111,Dagger-toothed Long-nosed Fruit Bat,,,
Pteropodidae,Macroglossus,,sobrinus,K. Andersen,1911,0,Ann. Mag. Nat. Hist.,"ser. 8, 3: 641-642",Greater Long-nosed Fruit Bat,,,
Pteropodidae,Megaerops,,albicollis,Francis,1989,0,Can. J. Zool.,67(12):,White-collared Fruit Bat,,,
Pteropodidae,Megaerops,,ecaudatus,Temminck,1837,1,Monogr. Mamm.,0.148611111,Temminck&apos;s Tailless Fruit Bat,,,
Pteropodidae,Megaerops,,kusnotoi,Hill & Boeadi,1978,0,Mammalia,42: 427,Javan Tailless Fruit Bat,,,
Pteropodidae,Megaerops,,niphanae,Yenbutra & Felten,1983,0,Senckenberg. Biol.,64:02:00,Ratanaworabhan's Fruit Bat,,,
Pteropodidae,Megaloglossus,,azagnyi,"Nesi, Kadjo & Hassanin",2012,0,Molecular phylogenetics,66(2013): 134,Western Woermann's Fruit Bat,,,
Pteropodidae,Megaloglossus,,woermanni,Pagenstecher,1885,0,Zool. Anz.,0.503472222,Woermann's Long-tongued Fruit Bat,,,
Pteropodidae,Melonycteris,Melonycteris,melanops,Dobson,1877,0,Proc. Zool. Soc. Lond.,1877: 119,Black-bellied Fruit Bat,,,
Pteropodidae,Melonycteris,Nesonycteris,fardoulisi,Flannery,1993,0,Rec. Aust. Mus.,45: 68,Fardoulis' Blossom Bat,,,
Pteropodidae,Melonycteris,Nesonycteris,woodfordi,Thomas,1887,1,Ann. Mag. Nat. Hist.,"ser. 5, 19: 147",Woodford's Fruit Bat,,,
Pteropodidae,Micropteropus,,intermedius,Hayman,1963,0,Publ. Cult. Comp. Diamantes Angola,66: 100,Hayman's Lesser Epauletted Fruit Bat,,,
Pteropodidae,Micropteropus,,pusillus,Peters,1868,1,Monatsb. K. Preuss. Akad. Wiss. Berlin,1867: 870,Peters' Lesser Epauletted Fruit Bat,,,
Pteropodidae,Mirimiri,,acrodonta,Hill & Beckon,1978,0,Bull. Br. Mus. Nat. Hist. Zool. ,34: 68,Fijian Monkey-faced Fruit Bat,,,
Pteropodidae,Myonycteris,Myonycteris,angolensis,Bocage,1898,1,J. Sci. Math. Phys. Nat. Lisboa,"ser. 2, 5: 133",Angolan Soft-furred Fruit Bat,,,
Pteropodidae,Myonycteris,Myonycteris,leptodon,Andersen,1908,0,Ann. Mag. Nat. Hist.,"ser. 8, 2: 450",Small-eared Collared Fruit Bat,,,
Pteropodidae,Myonycteris,Myonycteris,relicta,Bergmans,1980,0,Zool. Meded. Rijksmus. Nat. Hist. Leiden,0.670833333,Bergmans's Collared Fruit Bat,,,
Pteropodidae,Myonycteris,Myonycteris,torquata,Dobson,1878,1,Cat. Chiroptera Brit. Mus.,"p. 71, 76",Little Collared Fruit Bat,,,
Pteropodidae,Myonycteris,Phygetis,brachycephala,Bocage,1889,1,J. Sci. Math. Phys. Nat. Lisboa,"ser. 2, 1: 198",S&atilde;o Tom&eacute; Collared Fruit Bat,,,
Pteropodidae,Nanonycteris,,veldkampii,Jentink,1888,1,Notes Leyden Mus.,10:51,Veldkamp's Dwarf Epauletted Fruit Bat,,,
Pteropodidae,Neopteryx,,frosti,Hayman,1946,0,Ann. Mag. Nat. Hist.,"ser. 11, 12: 571",Small-toothed Fruit Bat,,,
Pteropodidae,Notopteris,,macdonaldii,Gray,1859,0,Proc. Zool. Soc. Lond.,1859:38:00,Fijian Long-tailed Fruit Bat,,,
Pteropodidae,Notopteris,,neocaledonicus,Trouessart,1908,0,"Bull. Mus. Hist. Nat., Paris",0.761805556,New Caledonia Long-tailed Fruit Bat,,,
Pteropodidae,Nyctimene,,aello,Thomas,1900,1,Ann. Mag. Nat. Hist.,"ser. 7, 5: 216",Broad-striped Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,albiventer,Gray,1863,1,Proc. Zool. Soc. Lond.,1862: 262,Common Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,cephalotes,Pallas,1767,1,Spicil. Zool.,3:10,Pallas' Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,certans,K. Andersen,1912,0,Ann. Mag. Nat. Hist.,"ser. 9, 8: 95",Mountain Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,cyclotis,K. Andersen,1910,0,Ann. Mag. Nat. Hist.,"ser. 7, 6: 623",Round-eared Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,draconilla,Thomas,1922,0,Nova Guinea,1.045138889,Dragon Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,keasti,"Kitchener <i>in</i> Kitchener, Packer, and Maryanto",1993,0,Rec. West. Aust. Mus.,0.95,Keast's Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,major,Dobson,1877,1,Proc. Zool. Soc. Lond.,1877: 117,Island Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,malaitensis,Phillips,1968,0,Univ. Kansas Publ. Mus. Nat. Hist.,1.2375,Malaita Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,masalai,Smith & Hood,1983,0,Occas. Pap. Mus. Texas Tech Univ.,81:01:00,Demonic Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,minutus,K. Andersen,1910,0,Ann. Mag. Nat. Hist.,"ser. 7, 6: 622",Lesser Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,rabori,Heaney & Peterson,1984,0,Occas. Pap. Mus. Zool. Univ. Michigan,708:03:00,Philippine Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,robinsoni,Thomas,1904,0,Ann. Mag. Nat. Hist.,"ser. 7, 14: 196",Queensland Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,sanctacrucis,Troughton,1931,0,Proc. Linn. Soc. N.S.W.,56: 206,Nendo Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,vizcaccia,Thomas,1914,0,Ann. Mag. Nat. Hist.,"ser. 8, 13: 436",Umboi Tube-nosed Fruit Bat,,,
Pteropodidae,Nyctimene,,wrightae,Irwin,2017,0,Rec. Aust. Mus.,69 (2): 84,Wright's Happy Tube-nosed Fruit Bat,,,
Pteropodidae,Otopteropus,,cartilagonodus,Kock,1969,0,Senckenberg. Biol.,50: 333,Luzon Fruit Bat,,,
Pteropodidae,Paranyctimene,,raptor,Tate,1942,0,Am. Mus. Novitates,1204:01:00,Unstriped Tube-nosed Fruit Bat,,,
Pteropodidae,Paranyctimene,,tenax,Bergmans,2001,1,Beaufortia,51: 146,Steadfast Tube-nosed Fruit Bat,,,
Pteropodidae,Penthetor,,lucasi,Dobson,1880,1,Ann. Mag. Nat. Hist.,"ser. 5, 6: 163",Lucas' Short-nosed Fruit Bat,,,
Pteropodidae,Plerotes,,anchietae,Seabra,1900,1,J. Sci. Math. Phys. Nat. Lisboa,"ser. 2, 6: 116",Anchieta's Broad-faced Fruit Bat,,,
Pteropodidae,Ptenochirus,,jagorii,Peters,1861,1,Monatsb. K. Preuss. Akad. Wiss. Berlin,1861: 707,Greater Musky Fruit Bat,,,
Pteropodidae,Ptenochirus,,minor,Yoshiyuki,1979,0,"Bull. Natl. Sci. Mus. Tokyo, Ser. A (Zool.)",0.260416667,Lesser Musky Fruit Bat,,,
Pteropodidae,Ptenochirus,,wetmorei,Taylor,1934,1,Monogr. Bur. Sci. Manila,p. 191,Mindanao Fruit Bat,,,
Pteropodidae,Pteralopex,,anceps,K. Andersen,1909,0,Ann. Mag. Nat. Hist.,"ser. 7, 3: 266",Bougainville Monkey-faced Fruit Bat,,,
Pteropodidae,Pteralopex,,atrata,Thomas,1888,0,Ann. Mag. Nat. Hist.,"ser. 6, 1: 155",Guadalcanal Monkey-faced Fruit Bat,,,
Pteropodidae,Pteralopex,,flanneryi,Helgen,2005,0,Syst. Biodivers.,3(4): 437,Flannery&apos;s Monkey-faced Fruit Bat,,,
Pteropodidae,Pteralopex,,pulchra,Flannery,1991,0,Rec. Aust. Mus.,43: 125,Montane Monkey-faced Fruit Bat,,,
Pteropodidae,Pteralopex,,taki,Parnaby,2002,0,Aust. Mammal.,1.059722222,New Georgian Monkey-faced Bat,,,
Pteropodidae,Pteropus,,admiralitatum,Thomas,1894,0,Ann. Mag. Nat. Hist.,"ser. 6, 13: 293",Admiralty Flying Fox,,,
Pteropodidae,Pteropus,,aldabrensis,TRUE,1893,0,Proc. U.S. Natl. Mus.,1.036805556,Aldabra Flying Fox,,,
Pteropodidae,Pteropus,,alecto,Temminck,1837,0,Monogr. Mamm.,0.135416667,Black Flying Fox,,,
Pteropodidae,Pteropus,,allenorum,"Helgen, Helgen & Wilson",2009,0,Am. Mus. Novitates,3646:06:00,Allen&apos;s Flying Fox,,,
Pteropodidae,Pteropus,,anetianus,Gray,1870,0,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",p. 101,Vanuatu Flying Fox,,,
Pteropodidae,Pteropus,,aruensis,Peters,1867,0,Monatsb. K. Preuss. Akad. Wiss. Berlin,1867: 330,Aru Flying Fox,,,
Pteropodidae,Pteropus,,brunneus,Dobson,1878,0,Cat. Chiroptera Brit. Mus.,p. 37,Dusky Flying Fox,,,
Pteropodidae,Pteropus,,caniceps,Gray,1870,0,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",p. 107,North Moluccan Flying Fox,,,
Pteropodidae,Pteropus,,capistratus,Peters,1876,0,Monatsb. K. Preuss. Akad. Wiss. Berlin,1876: 316,Bismark Masked Flying Fox,,,
Pteropodidae,Pteropus,,chrysoproctus,Temminck,1837,0,Monogr. Mamm.,0.129861111,Moluccan Flying Fox,,,
Pteropodidae,Pteropus,,cognatus,K. Andersen,1908,0,Ann. Mag. Nat. Hist.,"ser. 8, 2: 365",Makira Flying Fox,,,
Pteropodidae,Pteropus,,conspicillatus,Gould,1850,0,Proc. Zool. Soc. Lond.,1849: 109,Spectacled Flying Fox,,,
Pteropodidae,Pteropus,,coxi,"Helgen, Helgen & Wilson",2009,0,Am. Mus. Novitates,3646:14:00,Cox&apos;s Flying Fox,,,
Pteropodidae,Pteropus,,dasymallus,Temminck,1825,0,Monogr. Mamm.,0.166666667,Ryukyu Flying Fox,,,
Pteropodidae,Pteropus,,ennisae,Flannery & White,1991,0,Natl. Geo. Res. Exp.,p. 7,Island Flying Fox,,,
Pteropodidae,Pteropus,,faunulus,Miller,1902,0,Proc. U.S. Natl. Mus.,24: 785,Nicobar Flying Fox,,,
Pteropodidae,Pteropus,,fundatus,Felten and Kock,1972,0,Senckenberg. Biol.,53: 186,Banks Flying Fox,,,
Pteropodidae,Pteropus,,gilliardorum,Van Deusen,1969,0,Am. Mus. Novitates,2371:05:00,Gilliard's Flying Fox,,,
Pteropodidae,Pteropus,,griseus,E. Geoffroy,1810,1,Ann. Mus. Natn. Hist. Nat. Paris,0.690277778,Gray Flying Fox,,,
Pteropodidae,Pteropus,,howensis,Troughton,1931,0,Proc. Linn. Soc. N.S.W.,56: 204,Ontong Java Flying Fox,,,
Pteropodidae,Pteropus,,hypomelanus,Temminck,1853,0,Esquisses Zool. sur la C&ocirc;te de Guine,p. 61,Variable Flying Fox,,,
Pteropodidae,Pteropus,,intermedius,K. Andersen,1908,0,Ann. Mag. Nat. Hist.,"ser. 8, 2: 368",Andersen's Flying Fox,,,
Pteropodidae,Pteropus,,keyensis,Peters,1867,0,Monatsb. K. Preuss. Akad. Wiss. Berlin,1867: 330,Kei Flying Fox,,,
Pteropodidae,Pteropus,,livingstonii,Gray,1866,0,Proc. Zool. Soc. Lond.,1866: 66,Comoro Flying Fox,,,
Pteropodidae,Pteropus,,lombocensis,Dobson,1878,0,Cat. Chiroptera Brit. Mus.,p. 34,Lombok Flying Fox,,,
Pteropodidae,Pteropus,,loochoensis,Gray,1870,0,"Cat. Monkeys, Lemurs and Fruit-eating Bats, British Museum",p. 106,Japanese Flying Fox,,,
Pteropodidae,Pteropus,,lylei,K. Andersen,1908,0,Ann. Mag. Nat. Hist.,"ser. 8, 2: 367",Lyle's Flying Fox,,,
Pteropodidae,Pteropus,,macrotis,Peters,1867,0,Monatsb. K. Preuss. Akad. Wiss. Berlin,1867: 327,Big-eared Flying Fox,,,
Pteropodidae,Pteropus,,mahaganus,Sanborn,1931,0,"Field Mus. Nat. Hist. Publ., Zool. Ser.",2:19,Sanborn's Flying Fox,,,
Pteropodidae,Pteropus,,mariannus,Desmarest,1822,0,"Mammalogie, in Encycl. M&eacute;th.","2(Suppl.), p. 547",Marianas Flying Fox,,,
Pteropodidae,Pteropus,,medius,Temminck,1825,0,Monogr. Mamm.,0.163888889,Indian Flying Fox,,,
Pteropodidae,Pteropus,,melanopogon,Peters,1867,0,Monatsb. K. Preuss. Akad. Wiss. Berlin,1867: 330,Black-bearded Flying Fox,,,
Pteropodidae,Pteropus,,melanotus,Blyth,1863,0,Cat. Mamm. Mus. Asiat. Soc. Calcutta,p. 20,Black-eared Flying Fox,,,
Pteropodidae,Pteropus,,molossinus,Temminck,1853,0,Esquisses Zool. sur la C&ocirc;te de Guine,p. 62,Caroline Flying Fox,,,
Pteropodidae,Pteropus,,neohibernicus,Peters,1876,0,Monatsb. K. Preuss. Akad. Wiss. Berlin,1876: 317,Great Flying Fox,,,
Pteropodidae,Pteropus,,niger,Kerr,1792,1,"In Linnaeus, Anim. Kingdom",0.104166667,Greater Mascarene Flying Fox,,,
Pteropodidae,Pteropus,,nitendiensis,Sanborn,1930,0,Am. Mus. Novitates,435:02:00,Temotu Flying Fox,,,
Pteropodidae,Pteropus,,ocularis,Peters,1867,0,Monatsb. K. Preuss. Akad. Wiss. Berlin,1867: 326,Seram Flying Fox,,,
Pteropodidae,Pteropus,,ornatus,Gray,1870,0,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",p. 105,Ornate Flying Fox,,,
Pteropodidae,Pteropus,,pelagicus,Kittlitz,1836,0,Observation Zoologiques faites pendant l'expedition de la corvette Le Seniavine,p. 298,Seaside Flying Fox,,,
Pteropodidae,Pteropus,,pelewensis,K. Andersen,1908,0,Ann. Mag. Nat. Hist.,"ser. 8, 2: 364",Pelew Flying Fox,,,
Pteropodidae,Pteropus,,personatus,Temminck,1825,0,Monogr. Mamm.,0.172916667,Moluccan Masked Flying Fox,,,
Pteropodidae,Pteropus,,pilosus,K. Andersen,1908,0,Ann. Mag. Nat. Hist.,"ser. 8, 2: 369",Large Pelew Flying Fox,,,
Pteropodidae,Pteropus,,pohlei,Stein,1933,0,Z. S&auml;ugetierk.,0.397916667,Geelvink Bay Flying Fox,,,
Pteropodidae,Pteropus,,poliocephalus,Temminck,1825,0,Monogr. Mamm.,0.165972222,Gray-headed Flying Fox,,,
Pteropodidae,Pteropus,,pselaphon,Lay,1829,0,Zool. J.,0.484027778,Bonin Flying Fox,,,
Pteropodidae,Pteropus,,pumilus,Miller,1911,0,Proc. U.S. Natl. Mus.,38: 394,Little Golden-mantled Flying Fox,,,
Pteropodidae,Pteropus,,rayneri,Gray,1870,0,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",p. 108,Solomons Flying Fox,,,
Pteropodidae,Pteropus,,rennelli,Troughton,1929,0,Rec. Aust. Mus.,0.842361111,Rennell Flying Fox,,,
Pteropodidae,Pteropus,,rodricensis,Dobson,1878,0,Cat. Chiroptera Brit. Mus.,p. 36,Rodrigues Flying Fox,,,
Pteropodidae,Pteropus,,rufus,E. Geoffroy,1803,0,Cat. Mamm. Mus. Nat. Hist. Nat. Paris,p. 47,Malagasy Flying Fox,,,
Pteropodidae,Pteropus,,samoensis,Peale,1848,0,Mammalia in Repts. U.S. Expl. Surv.,8:20,Samoan Flying Fox,,,
Pteropodidae,Pteropus,,scapulatus,Peters,1862,0,Monatsb. K. Preuss. Akad. Wiss. Berlin,1862: 574,Little Red Flying Fox,,,
Pteropodidae,Pteropus,,seychellensis,Milne-Edwards,1877,0,"Bull. Sci. Soc. Philom. Paris, ser. 7",0.236805556,Seychelles Flying Fox,,,
Pteropodidae,Pteropus,,speciosus,K. Andersen,1908,0,Ann. Mag. Nat. Hist.,"ser. 8, 2: 364",Philippine Gray Flying Fox,,,
Pteropodidae,Pteropus,,subniger,Kerr,1792,1,"In Linnaeus, Anim. Kingdom",0.104861111,Dark Flying Fox,,,
Pteropodidae,Pteropus,,temminckii,Peters,1867,0,Monatsb. K. Preuss. Akad. Wiss. Berlin,1867: 331,Temminck's Flying Fox,,,
Pteropodidae,Pteropus,,tokudae,Tate,1934,0,Am. Mus. Novitates,713:01:00,Guam Flying Fox,,,
Pteropodidae,Pteropus,,tonganus,Quoy and Gaimard,1830,0,"In d'Urville, Voy...de Astrolabe, Zool.","1(L&apos;Homme, Mamm., Oiseaux): 74",Pacific Flying Fox,,,
Pteropodidae,Pteropus,,tuberculatus,Peters,1869,0,Monatsb. K. Preuss. Akad. Wiss. Berlin,1869: 393,Vanikoro Flying Fox,,,
Pteropodidae,Pteropus,,ualanus,Peters,1883,0,Ges. Nat. Fr.,1:01,Kosrae Flying Fox,,,
Pteropodidae,Pteropus,,vampyrus,Linnaeus,1758,1,"Syst. Nat., 10th ed.",1:31,Large Flying Fox,,,
Pteropodidae,Pteropus,,vetula,Jouan,1863,0,Mem. Soc. Imp. Sci. Nat. Cherbourg,0.4375,New Caledonian Flying Fox,,,
Pteropodidae,Pteropus,,voeltzkowi,Matschie,1909,0,Sitzb. Ges. Naturf. Fr. Berlin,p. 486,Pemba Flying Fox,,,
